usage_id,facility_id,district,date,blood_group,units_used,is_spike_day,spike_reason
USG000127,FAC001,Ballari,2025-11-20,A+,2,False,No Spike
USG000128,FAC001,Ballari,2025-11-23,A-,1,False,No Spike
USG000129,FAC001,Ballari,2025-11-26,O+,4,False,No Spike
USG000130,FAC001,Ballari,2025-11-26,A+,3,False,No Spike
USG000131,FAC001,Ballari,2025-11-27,AB-,3,False,No Spike
USG000132,FAC001,Ballari,2025-11-28,AB+,2,False,No Spike
USG000133,FAC001,Ballari,2025-11-29,O+,2,False,No Spike
USG000134,FAC001,Ballari,2025-11-30,B+,1,False,No Spike
USG000135,FAC001,Ballari,2025-12-01,B+,4,False,No Spike
USG000136,FAC001,Ballari,2025-12-01,A+,4,False,No Spike
USG000137,FAC001,Ballari,2025-12-01,AB-,2,False,No Spike
USG000138,FAC001,Ballari,2025-12-02,A+,3,False,No Spike
USG000139,FAC001,Ballari,2025-12-04,B+,3,False,No Spike
USG000140,FAC001,Ballari,2025-12-04,AB-,3,False,No Spike
USG000141,FAC001,Ballari,2025-12-05,O+,7,True,Local incident spike
USG000142,FAC001,Ballari,2025-12-05,A+,1,True,Local incident spike
USG000143,FAC001,Ballari,2025-12-06,B+,1,False,No Spike
USG000144,FAC001,Ballari,2025-12-07,O+,1,False,No Spike
USG000145,FAC001,Ballari,2025-12-07,B+,2,False,No Spike
USG000146,FAC001,Ballari,2025-12-10,O+,4,False,No Spike
USG000147,FAC001,Ballari,2025-12-10,A+,3,False,No Spike
USG000148,FAC001,Ballari,2025-12-10,AB+,1,False,No Spike
USG000149,FAC001,Ballari,2025-12-12,O+,1,False,No Spike
USG000150,FAC001,Ballari,2025-12-12,B-,4,False,No Spike
USG000151,FAC001,Ballari,2025-12-13,AB-,3,False,No Spike
USG000152,FAC001,Ballari,2025-12-14,O+,1,False,No Spike
USG000153,FAC001,Ballari,2025-12-15,O+,2,False,No Spike
USG000154,FAC001,Ballari,2025-12-17,O+,4,False,No Spike
USG000155,FAC001,Ballari,2025-12-17,A+,3,False,No Spike
USG000156,FAC001,Ballari,2025-12-18,O+,1,False,No Spike
USG000157,FAC001,Ballari,2025-12-20,B+,5,True,Local incident spike
USG000158,FAC001,Ballari,2025-12-20,A+,6,True,Local incident spike
USG000159,FAC001,Ballari,2025-12-22,B-,4,False,No Spike
USG000160,FAC001,Ballari,2025-12-23,B+,1,False,No Spike
USG000161,FAC001,Ballari,2025-12-24,O-,1,False,No Spike
USG000162,FAC001,Ballari,2025-12-25,O+,2,False,No Spike
USG000163,FAC001,Ballari,2025-12-25,B+,1,False,No Spike
USG000164,FAC001,Ballari,2025-12-26,B+,4,False,No Spike
USG000165,FAC001,Ballari,2025-12-26,AB+,1,False,No Spike
USG000166,FAC001,Ballari,2025-12-26,O-,2,False,No Spike
USG000167,FAC001,Ballari,2025-12-27,B+,3,False,No Spike
USG000168,FAC001,Ballari,2025-12-27,AB-,4,False,No Spike
USG000169,FAC001,Ballari,2025-12-28,B+,2,False,No Spike
USG000170,FAC001,Ballari,2025-12-28,O-,3,False,No Spike
USG000171,FAC001,Ballari,2025-12-29,O+,3,False,No Spike
USG000172,FAC001,Ballari,2025-12-29,B+,1,False,No Spike
USG000173,FAC001,Ballari,2025-12-29,AB-,1,False,No Spike
USG000174,FAC001,Ballari,2025-12-30,O+,2,True,New Year travel period
USG000175,FAC001,Ballari,2025-12-30,AB+,5,True,New Year travel period
USG000176,FAC001,Ballari,2025-12-31,A+,5,True,New Year travel period
USG000177,FAC001,Ballari,2026-01-01,AB+,3,True,New Year travel period
USG000178,FAC001,Ballari,2026-01-01,A-,4,True,New Year travel period
USG000179,FAC001,Ballari,2026-01-03,B+,4,False,No Spike
USG000180,FAC001,Ballari,2026-01-03,A+,2,False,No Spike
USG000181,FAC001,Ballari,2026-01-04,O-,3,False,No Spike
USG000182,FAC001,Ballari,2026-01-05,B+,4,False,No Spike
USG000183,FAC001,Ballari,2026-01-06,B+,1,False,No Spike
USG000184,FAC001,Ballari,2026-01-06,B-,2,False,No Spike
USG000185,FAC001,Ballari,2026-01-08,O+,2,False,No Spike
USG000186,FAC001,Ballari,2026-01-10,O+,3,False,No Spike
USG000187,FAC001,Ballari,2026-01-11,B+,3,False,No Spike
USG000188,FAC001,Ballari,2026-01-11,AB-,3,False,No Spike
USG000189,FAC001,Ballari,2026-01-12,A+,1,False,No Spike
USG000190,FAC001,Ballari,2026-01-12,AB+,4,False,No Spike
USG000191,FAC001,Ballari,2026-01-13,B+,3,False,No Spike
USG000192,FAC001,Ballari,2026-01-14,B+,2,False,No Spike
USG000193,FAC001,Ballari,2026-01-14,O-,1,False,No Spike
USG000194,FAC001,Ballari,2026-01-16,AB+,2,False,No Spike
USG000195,FAC001,Ballari,2026-01-17,AB+,1,False,No Spike
USG000196,FAC001,Ballari,2026-01-18,O+,4,False,No Spike
USG000197,FAC001,Ballari,2026-01-18,A+,3,False,No Spike
USG000198,FAC001,Ballari,2026-01-21,O+,4,False,No Spike
USG000199,FAC001,Ballari,2026-01-21,A+,3,False,No Spike
USG000200,FAC001,Ballari,2026-01-23,B+,4,False,No Spike
USG000201,FAC001,Ballari,2026-01-23,B-,4,False,No Spike
USG000202,FAC001,Ballari,2026-01-24,AB+,1,False,No Spike
USG000203,FAC001,Ballari,2026-01-27,A-,2,False,No Spike
USG000204,FAC001,Ballari,2026-01-28,B+,2,False,No Spike
USG000205,FAC001,Ballari,2026-01-30,A-,4,False,No Spike
USG000206,FAC001,Ballari,2026-01-31,AB+,4,False,No Spike
USG000207,FAC001,Ballari,2026-02-01,O+,2,False,No Spike
USG000208,FAC001,Ballari,2026-02-01,B+,1,False,No Spike
USG000209,FAC001,Ballari,2026-02-07,O+,1,False,No Spike
USG000210,FAC001,Ballari,2026-02-09,A+,4,False,No Spike
USG000211,FAC001,Ballari,2026-02-10,B+,4,False,No Spike
USG000212,FAC001,Ballari,2026-02-11,O+,2,False,No Spike
USG000213,FAC001,Ballari,2026-02-13,O+,1,False,No Spike
USG000214,FAC001,Ballari,2026-02-14,AB-,3,False,No Spike
USG000215,FAC001,Ballari,2026-02-16,O+,1,False,No Spike
USG000216,FAC001,Ballari,2026-02-16,B+,2,False,No Spike
USG000217,FAC001,Ballari,2026-02-16,O-,4,False,No Spike
USG000218,FAC001,Ballari,2026-02-17,A+,3,False,No Spike
USG000219,FAC001,Ballari,2026-02-17,O-,1,False,No Spike
USG000220,FAC001,Ballari,2026-02-21,A+,2,False,No Spike
USG000221,FAC001,Ballari,2026-02-22,O+,4,False,No Spike
USG000222,FAC001,Ballari,2026-02-22,B+,4,False,No Spike
USG000223,FAC001,Ballari,2026-02-22,B-,4,False,No Spike
USG000224,FAC001,Ballari,2026-02-23,B+,3,False,No Spike
USG000225,FAC001,Ballari,2026-02-23,A-,3,False,No Spike
USG000226,FAC001,Ballari,2026-02-24,O+,1,False,No Spike
USG000227,FAC001,Ballari,2026-02-26,B+,3,False,No Spike
USG000228,FAC001,Ballari,2026-02-26,A+,4,False,No Spike
USG000229,FAC001,Ballari,2026-02-26,B-,1,False,No Spike
USG000230,FAC001,Ballari,2026-02-28,A+,4,False,No Spike
USG000231,FAC001,Ballari,2026-02-28,AB-,1,False,No Spike
USG000232,FAC001,Ballari,2026-03-01,O-,4,False,No Spike
USG000233,FAC001,Ballari,2026-03-02,O+,3,False,No Spike
USG000234,FAC001,Ballari,2026-03-04,O+,4,False,No Spike
USG000235,FAC001,Ballari,2026-03-04,A+,3,False,No Spike
USG000236,FAC001,Ballari,2026-03-05,O+,4,False,No Spike
USG000237,FAC001,Ballari,2026-03-05,B+,4,False,No Spike
USG000238,FAC001,Ballari,2026-03-05,AB-,4,False,No Spike
USG000239,FAC001,Ballari,2026-03-06,A+,2,False,No Spike
USG000240,FAC001,Ballari,2026-03-07,A+,4,False,No Spike
USG000241,FAC001,Ballari,2026-03-08,B-,2,False,No Spike
USG000242,FAC001,Ballari,2026-03-09,O+,4,False,No Spike
USG000243,FAC001,Ballari,2026-03-11,O-,2,False,No Spike
USG000244,FAC001,Ballari,2026-03-11,B-,4,False,No Spike
USG000245,FAC001,Ballari,2026-03-12,O+,2,False,No Spike
USG000246,FAC001,Ballari,2026-03-14,AB+,1,False,No Spike
USG000247,FAC001,Ballari,2026-03-14,AB-,1,False,No Spike
USG000248,FAC001,Ballari,2026-03-15,O-,4,False,No Spike
USG000249,FAC001,Ballari,2026-03-16,AB+,4,False,No Spike
USG000250,FAC001,Ballari,2026-03-16,O-,3,False,No Spike
USG000251,FAC001,Ballari,2026-03-18,AB+,4,False,No Spike
USG000252,FAC001,Ballari,2026-03-19,B+,1,False,No Spike
USG000253,FAC001,Ballari,2026-03-19,A+,4,False,No Spike
USG000254,FAC001,Ballari,2026-03-22,B+,3,False,No Spike
USG000255,FAC001,Ballari,2026-03-22,A+,2,False,No Spike
USG000256,FAC001,Ballari,2026-03-23,O+,2,False,No Spike
USG000257,FAC001,Ballari,2026-03-24,B+,3,False,No Spike
USG000258,FAC001,Ballari,2026-03-24,A+,4,False,No Spike
USG000259,FAC001,Ballari,2026-03-26,O+,4,False,No Spike
USG000260,FAC001,Ballari,2026-03-26,B+,3,False,No Spike
USG000261,FAC001,Ballari,2026-03-27,A+,1,False,No Spike
USG000262,FAC001,Ballari,2026-03-29,B+,4,False,No Spike
USG000263,FAC001,Ballari,2026-03-29,AB+,2,False,No Spike
USG000264,FAC001,Ballari,2026-03-30,A+,4,False,No Spike
USG000265,FAC001,Ballari,2026-03-31,A-,4,False,No Spike
USG000266,FAC001,Ballari,2026-04-06,A+,4,False,No Spike
USG000267,FAC001,Ballari,2026-04-07,O+,3,False,No Spike
USG000268,FAC001,Ballari,2026-04-08,O+,1,False,No Spike
USG000269,FAC001,Ballari,2026-04-09,O+,2,False,No Spike
USG000270,FAC001,Ballari,2026-04-10,AB+,1,False,No Spike
USG000271,FAC001,Ballari,2026-04-12,B+,1,False,No Spike
USG000272,FAC001,Ballari,2026-04-14,O+,4,False,No Spike
USG000273,FAC001,Ballari,2026-04-14,B-,2,False,No Spike
USG000274,FAC001,Ballari,2026-04-15,A+,1,False,No Spike
USG000275,FAC001,Ballari,2026-04-17,B+,3,False,No Spike
USG000276,FAC001,Ballari,2026-04-18,B+,4,False,No Spike
USG000277,FAC001,Ballari,2026-04-19,AB-,3,False,No Spike
USG000278,FAC001,Ballari,2026-04-21,B-,2,False,No Spike
USG000279,FAC001,Ballari,2026-04-22,O+,4,False,No Spike
USG000280,FAC001,Ballari,2026-04-24,AB+,3,False,No Spike
USG000281,FAC001,Ballari,2026-04-26,O+,2,False,No Spike
USG000282,FAC001,Ballari,2026-04-28,B+,3,False,No Spike
USG000283,FAC001,Ballari,2026-04-30,B+,3,False,No Spike
USG000284,FAC001,Ballari,2026-05-01,B+,4,False,No Spike
USG000285,FAC001,Ballari,2026-05-03,A+,4,False,No Spike
USG000286,FAC001,Ballari,2026-05-03,AB+,2,False,No Spike
USG000287,FAC001,Ballari,2026-05-03,A-,4,False,No Spike
USG000288,FAC001,Ballari,2026-05-04,O+,3,False,No Spike
USG000289,FAC001,Ballari,2026-05-04,B+,3,False,No Spike
USG000290,FAC001,Ballari,2026-05-04,A+,3,False,No Spike
USG000291,FAC001,Ballari,2026-05-05,A-,4,False,No Spike
USG000292,FAC001,Ballari,2026-05-06,A+,3,False,No Spike
USG000293,FAC001,Ballari,2026-05-07,A+,3,False,No Spike
USG000294,FAC001,Ballari,2026-05-08,A+,1,False,No Spike
USG000295,FAC001,Ballari,2026-05-11,A+,3,False,No Spike
USG000296,FAC001,Ballari,2026-05-13,O+,3,False,No Spike
USG000297,FAC001,Ballari,2026-05-13,A+,4,False,No Spike
USG000298,FAC001,Ballari,2026-05-14,O+,1,False,No Spike
USG000299,FAC001,Ballari,2026-05-14,B+,2,False,No Spike
USG000300,FAC001,Ballari,2026-05-14,A+,1,False,No Spike
USG000301,FAC001,Ballari,2026-05-16,B+,3,False,No Spike
USG000302,FAC001,Ballari,2026-05-16,B-,4,False,No Spike
USG000303,FAC001,Ballari,2026-05-17,B+,1,False,No Spike
USG000304,FAC001,Ballari,2026-05-17,A-,2,False,No Spike
USG000305,FAC001,Ballari,2026-05-18,B+,3,False,No Spike
USG000306,FAC001,Ballari,2026-05-19,AB+,4,False,No Spike
USG000307,FAC001,Ballari,2026-05-19,A-,1,False,No Spike
USG000308,FAC001,Ballari,2026-05-20,O+,2,False,No Spike
USG000309,FAC001,Ballari,2026-05-21,O+,1,False,No Spike
USG000310,FAC001,Ballari,2026-05-24,A-,2,False,No Spike
USG000311,FAC001,Ballari,2026-05-26,B+,4,False,No Spike
USG000312,FAC001,Ballari,2026-05-26,A+,3,False,No Spike
USG000313,FAC001,Ballari,2026-05-26,A-,3,False,No Spike
USG000314,FAC001,Ballari,2026-05-26,B-,4,False,No Spike
USG000315,FAC001,Ballari,2026-05-27,B+,2,False,No Spike
USG000316,FAC001,Ballari,2026-05-27,AB-,2,False,No Spike
USG000317,FAC001,Ballari,2026-05-29,B+,1,False,No Spike
USG000318,FAC001,Ballari,2026-05-31,O+,2,False,No Spike
USG000319,FAC001,Ballari,2026-06-01,B+,3,False,No Spike
USG000320,FAC001,Ballari,2026-06-01,O-,3,False,No Spike
USG000321,FAC001,Ballari,2026-06-02,B+,3,False,No Spike
USG000322,FAC001,Ballari,2026-06-02,O-,4,False,No Spike
USG000323,FAC001,Ballari,2026-06-03,O+,1,False,No Spike
USG000324,FAC001,Ballari,2026-06-03,A+,1,False,No Spike
USG000325,FAC001,Ballari,2026-06-03,AB+,2,False,No Spike
USG000326,FAC001,Ballari,2026-06-04,O-,1,False,No Spike
USG000327,FAC001,Ballari,2026-06-05,O+,3,False,No Spike
USG000328,FAC001,Ballari,2026-06-05,B+,4,False,No Spike
USG000329,FAC001,Ballari,2026-06-05,A+,4,False,No Spike
USG000330,FAC001,Ballari,2026-06-05,A-,4,False,No Spike
USG000331,FAC001,Ballari,2026-06-06,O+,3,False,No Spike
USG000332,FAC001,Ballari,2026-06-06,A+,2,False,No Spike
USG000333,FAC001,Ballari,2026-06-07,AB-,4,False,No Spike
USG000334,FAC001,Ballari,2026-06-09,O-,4,False,No Spike
USG000335,FAC001,Ballari,2026-06-10,B+,2,False,No Spike
USG000336,FAC001,Ballari,2026-06-10,A-,2,False,No Spike
USG000337,FAC001,Ballari,2026-06-13,AB+,1,False,No Spike
USG000338,FAC001,Ballari,2026-06-13,AB-,2,False,No Spike
USG000339,FAC001,Ballari,2026-06-14,A-,2,False,No Spike
USG000340,FAC001,Ballari,2026-06-16,B+,2,False,No Spike
USG000341,FAC001,Ballari,2026-06-18,B+,1,False,No Spike
USG000342,FAC001,Ballari,2026-06-18,AB-,3,False,No Spike
USG000343,FAC001,Ballari,2026-06-20,B+,1,False,No Spike
USG000344,FAC001,Ballari,2026-06-20,B-,2,False,No Spike
USG000345,FAC001,Ballari,2026-06-21,O+,3,False,No Spike
USG000346,FAC001,Ballari,2026-06-21,AB+,4,False,No Spike
USG000347,FAC001,Ballari,2026-06-22,A+,4,False,No Spike
USG000348,FAC001,Ballari,2026-06-23,B+,1,False,No Spike
USG000349,FAC001,Ballari,2026-06-23,O-,2,False,No Spike
USG000350,FAC001,Ballari,2026-06-25,A+,4,True,Local incident spike
USG000351,FAC001,Ballari,2026-06-25,AB+,5,True,Local incident spike
USG000352,FAC001,Ballari,2026-06-25,A-,6,True,Local incident spike
USG000353,FAC001,Ballari,2026-06-26,B-,2,False,No Spike
USG000354,FAC001,Ballari,2026-06-27,A+,4,False,No Spike
USG000355,FAC001,Ballari,2026-06-28,AB+,4,False,No Spike
USG000356,FAC001,Ballari,2026-06-28,AB-,1,False,No Spike
USG000357,FAC001,Ballari,2026-06-29,O+,3,False,No Spike
USG000358,FAC001,Ballari,2026-06-29,A-,4,False,No Spike
USG000359,FAC001,Ballari,2026-07-03,A-,4,False,No Spike
USG000360,FAC001,Ballari,2026-07-04,AB+,4,False,No Spike
USG000361,FAC001,Ballari,2026-07-05,B+,1,False,No Spike
USG000362,FAC001,Ballari,2026-07-06,AB+,3,False,No Spike
USG000363,FAC001,Ballari,2026-07-07,AB+,4,False,No Spike
USG000364,FAC001,Ballari,2026-07-07,B-,3,False,No Spike
USG000365,FAC001,Ballari,2026-07-09,AB+,4,False,No Spike
USG000366,FAC001,Ballari,2026-07-11,B+,2,False,No Spike
USG000367,FAC001,Ballari,2026-07-11,O-,1,False,No Spike
USG000368,FAC001,Ballari,2026-07-12,A-,3,False,No Spike
USG000369,FAC001,Ballari,2026-07-14,O+,1,False,No Spike
USG000370,FAC001,Ballari,2026-07-14,B+,2,False,No Spike
USG000371,FAC001,Ballari,2026-07-14,AB-,1,False,No Spike
USG000372,FAC001,Ballari,2026-07-15,B+,3,True,Monsoon peak flood-risk weeks
USG000373,FAC001,Ballari,2026-07-15,A+,5,True,Monsoon peak flood-risk weeks
USG000374,FAC001,Ballari,2026-07-16,A+,5,True,Monsoon peak flood-risk weeks
USG000375,FAC001,Ballari,2026-07-17,B-,5,True,Monsoon peak flood-risk weeks
USG000376,FAC001,Ballari,2026-07-18,O+,4,True,Monsoon peak flood-risk weeks
USG000377,FAC001,Ballari,2026-07-18,AB+,7,True,Monsoon peak flood-risk weeks
USG000378,FAC001,Ballari,2026-07-19,O+,6,True,Monsoon peak flood-risk weeks
USG000379,FAC001,Ballari,2026-07-21,O+,5,True,Monsoon peak flood-risk weeks
USG000380,FAC001,Ballari,2026-07-21,B+,4,True,Monsoon peak flood-risk weeks
USG000381,FAC001,Ballari,2026-07-22,A-,2,True,Monsoon peak flood-risk weeks
USG000382,FAC001,Ballari,2026-07-24,A+,3,True,Monsoon peak flood-risk weeks
USG000383,FAC001,Ballari,2026-07-24,AB-,4,True,Monsoon peak flood-risk weeks
USG000384,FAC001,Ballari,2026-07-25,A+,1,True,Monsoon peak flood-risk weeks
USG000385,FAC001,Ballari,2026-07-25,AB-,3,True,Monsoon peak flood-risk weeks
USG000386,FAC001,Ballari,2026-07-26,O-,2,True,Monsoon peak flood-risk weeks
USG000387,FAC001,Ballari,2026-07-27,O+,6,True,Monsoon peak flood-risk weeks
